iso3,m49_code,un_member_name,m49_name,region,region_code,subregion,subregion_code,intermediate_region,intermediate_region_code
SDN,729,Sudan,Sudan,Africa,002,Northern Africa,015,,
SUR,740,Suriname,Suriname,Americas,019,Latin America and the Caribbean,419,South America,005
SWE,752,Sweden,Sweden,Europe,150,Northern Europe,154,,
CHE,756,Switzerland,Switzerland,Europe,150,Western Europe,155,,
SYR,760,Syrian Arab Republic,Syrian Arab Republic,Asia,142,Western Asia,145,,
TJK,762,Tajikistan,Tajikistan,Asia,142,Central Asia,143,,
THA,764,Thailand,Thailand,Asia,142,South-eastern Asia,035,,
TLS,626,Timor-Leste,Timor-Leste,Asia,142,South-eastern Asia,035,,
TGO,768,Togo,Togo,Africa,002,Sub-Saharan Africa,202,Western Africa,011
TON,776,Tonga,Tonga,Oceania,009,Polynesia,061,,
TTO,780,Trinidad and Tobago,Trinidad and Tobago,Americas,019,Latin America and the Caribbean,419,Caribbean,029
TUN,788,Tunisia,Tunisia,Africa,002,Northern Africa,015,,
TKM,795,Turkmenistan,Turkmenistan,Asia,142,Central Asia,143,,
TUV,798,Tuvalu,Tuvalu,Oceania,009,Polynesia,061,,
TUR,792,Türkiye,Türkiye,Asia,142,Western Asia,145,,
UGA,800,Uganda,Uganda,Africa,002,Sub-Saharan Africa,202,Eastern Africa,014
UKR,804,Ukraine,Ukraine,Europe,150,Eastern Europe,151,,
ARE,784,United Arab Emirates,United Arab Emirates,Asia,142,Western Asia,145,,
GBR,826,United Kingdom,United Kingdom of Great Britain and Northern Ireland,Europe,150,Northern Europe,154,,
TZA,834,United Republic of Tanzania,United Republic of Tanzania,Africa,002,Sub-Saharan Africa,202,Eastern Africa,014
USA,840,United States,United States of America,Americas,019,Northern America,021,,
URY,858,Uruguay,Uruguay,Americas,019,Latin America and the Caribbean,419,South America,005
UZB,860,Uzbekistan,Uzbekistan,Asia,142,Central Asia,143,,
VUT,548,Vanuatu,Vanuatu,Oceania,009,Melanesia,054,,
VEN,862,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),Americas,019,Latin America and the Caribbean,419,South America,005
VNM,704,Viet Nam,Viet Nam,Asia,142,South-eastern Asia,035,,
YEM,887,Yemen,Yemen,Asia,142,Western Asia,145,,
ZMB,894,Zambia,Zambia,Africa,002,Sub-Saharan Africa,202,Eastern Africa,014
ZWE,716,Zimbabwe,Zimbabwe,Africa,002,Sub-Saharan Africa,202,Eastern Africa,014
